date,name,price,person,level,review_count,review_group,score,city,city_details,day,month,peak
2023-08-01,판타스틱 오션뷰 시드니호텔,72750,4인,3성급,158.0,500 미만,4.3,제주시,애월읍,1,August,성수기
2023-08-01,팜파스호텔 제주,93750,2인,비지니스,250.0,500 미만,4.7,제주시,용담삼동,1,August,성수기
2023-08-01,퍼스트70 호텔,80000,2인,비지니스,670.0,500 이상,4.6,서귀포시,서귀동,1,August,성수기
2023-08-01,펄호텔 제주,45600,4인,비지니스,96.0,500 미만,4.2,제주시,연동,1,August,성수기
2023-08-01,프리뮬러 호텔(구 산방산호텔),144940,2인,가족호텔,66.0,500 미만,4.7,서귀포시,대정읍,1,August,성수기
2023-08-01,플레이스캠프 제주,83700,2인,4성급,921.0,500 이상,4.6,서귀포시,성산읍,1,August,성수기
2023-08-01,피노호텔,91500,4인,비지니스,120.0,500 미만,4.8,서귀포시,서귀동,1,August,성수기
2023-08-01,함덕비치스테이제주,166364,2인,비지니스,205.0,500 미만,4.5,제주시,조천읍,1,August,성수기
2023-08-01,해비치 호텔&리조트,694199,2인,5성급,365.0,500 미만,4.7,서귀포시,표선면,1,August,성수기
2023-08-01,해수스파호텔 코자,73333,4인,부티크,158.0,500 미만,4.5,서귀포시,대정읍,1,August,성수기
2023-08-01,호텔 골든데이지 서귀포오션,106400,2인,비지니스,1111.0,500 이상,4.5,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔 난타 제주,157500,4인,4성급,597.0,500 이상,4.7,제주시,오등동,1,August,성수기
2023-08-01,호텔 더원,114667,2인,4성급,2451.0,500 이상,4.5,제주시,연동,1,August,성수기
2023-08-01,호텔 리젠트마린,145000,2인,비지니스,1080.0,500 이상,4.6,제주시,건입동,1,August,성수기
2023-08-01,호텔 버지니아,56667,2인,비지니스,385.0,500 미만,4.8,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔 브릿지 서귀포,137815,2인,비지니스,312.0,500 미만,4.8,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔 비 제주,47000,4인,비지니스,105.0,500 미만,4.2,제주시,연동,1,August,성수기
2023-08-01,호텔 샬롬,83000,2인,4성급,1368.0,500 이상,4.5,제주시,이도이동,1,August,성수기
2023-08-01,호텔 스위트캐슬,104400,2인,비지니스,153.0,500 미만,4.6,제주시,조천읍,1,August,성수기
2023-08-01,호텔 스카이파크 제주 1호점,100105,2인,3성급,286.0,500 미만,4.4,제주시,연동,1,August,성수기
2023-08-01,호텔 앨리스 앤 트렁크,125000,2인,비지니스,180.0,500 미만,4.8,제주시,연동,1,August,성수기
2023-08-01,호텔 연,62500,2인,비지니스,342.0,500 미만,4.8,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔 윈스토리,103000,4인,비지니스,1344.0,500 이상,4.6,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔 징크 서귀포,63000,4인,비지니스,184.0,500 미만,4.7,서귀포시,서귀동,1,August,성수기
